tool_name,route,correctness_30,demonstrated_demand_25,differentiation_20,strategic_fit_15,maintainability_10,known_non_demand_subtotal_75,total_score,gsc_evidence,backlink_evidence,recommendation,decision_basis
Image Compressor,/compress/image,25,UNKNOWN,12,15,7,59,UNKNOWN,UNKNOWN,UNKNOWN,FLAGSHIP,local-first-core-candidate
GIF Compressor,/tools/gif-compressor,23,UNKNOWN,13,10,6,52,UNKNOWN,UNKNOWN,UNKNOWN,KEEP,bounded-utility-evidence
PNG to JPG Converter,/convert/png-to-jpg,28,UNKNOWN,5,11,8,52,UNKNOWN,UNKNOWN,UNKNOWN,KEEP,bounded-utility-evidence
QR Code Generator,/generate/qr-code,22,UNKNOWN,4,8,8,42,UNKNOWN,UNKNOWN,UNKNOWN,KEEP,bounded-utility-evidence
HEIC to JPG Converter,/convert/heic-to-jpg,0,UNKNOWN,8,5,3,16,UNKNOWN,UNKNOWN,UNKNOWN,HIDE,contained-core-function-gate
WebP to PNG Converter,/convert/webp-to-png,28,UNKNOWN,5,10,8,51,UNKNOWN,UNKNOWN,UNKNOWN,KEEP,bounded-utility-evidence
PNG to WebP Converter,/convert/png-to-webp,27,UNKNOWN,5,11,8,51,UNKNOWN,UNKNOWN,UNKNOWN,KEEP,bounded-utility-evidence
JPG to PNG Converter,/convert/jpg-to-png,28,UNKNOWN,4,9,8,49,UNKNOWN,UNKNOWN,UNKNOWN,KEEP,bounded-utility-evidence
AI Background Remover,/tools/background-remover,0,UNKNOWN,10,10,2,22,UNKNOWN,UNKNOWN,UNKNOWN,HIDE,unconfigured-processor-privacy-gate
PDF Compressor,/compress/pdf,18,UNKNOWN,4,13,8,43,UNKNOWN,UNKNOWN,UNKNOWN,FIX,existing-correctness-or-repair-gate
PDF to JPG Converter,/convert/pdf-to-jpg,28,UNKNOWN,7,14,6,55,UNKNOWN,UNKNOWN,UNKNOWN,FLAGSHIP,local-first-core-candidate
JPG to PDF Converter,/convert/jpg-to-pdf,25,UNKNOWN,5,12,7,49,UNKNOWN,UNKNOWN,UNKNOWN,KEEP,bounded-utility-evidence
Merge PDF,/tools/merge-pdf,28,UNKNOWN,6,13,8,55,UNKNOWN,UNKNOWN,UNKNOWN,FLAGSHIP,local-first-core-candidate
Split PDF,/tools/split-pdf,27,UNKNOWN,6,12,6,51,UNKNOWN,UNKNOWN,UNKNOWN,KEEP,bounded-utility-evidence
Rotate PDF,/tools/rotate-pdf,28,UNKNOWN,5,11,6,50,UNKNOWN,UNKNOWN,UNKNOWN,KEEP,bounded-utility-evidence
PDF to Fillable PDF,/tools/pdf-to-fillable,21,UNKNOWN,13,7,3,44,UNKNOWN,UNKNOWN,UNKNOWN,HIDE,interoperability-and-input-gate
Image Resizer,/tools/resize-image,14,UNKNOWN,10,14,6,44,UNKNOWN,UNKNOWN,UNKNOWN,FIX,existing-correctness-or-repair-gate
PNG to PDF Converter,/convert/png-to-pdf,25,UNKNOWN,5,12,7,49,UNKNOWN,UNKNOWN,UNKNOWN,KEEP,bounded-utility-evidence
Word to PDF Converter,/convert/word-to-pdf,15,UNKNOWN,9,11,4,39,UNKNOWN,UNKNOWN,UNKNOWN,FIX,existing-correctness-or-repair-gate
Word Counter,/text/word-counter,24,UNKNOWN,5,14,9,52,UNKNOWN,UNKNOWN,UNKNOWN,FIX,existing-correctness-or-repair-gate
Case Converter,/text/case-converter,12,UNKNOWN,4,13,8,37,UNKNOWN,UNKNOWN,UNKNOWN,FIX,existing-correctness-or-repair-gate
Lorem Ipsum Generator,/text/lorem-generator,26,UNKNOWN,3,11,9,49,UNKNOWN,UNKNOWN,UNKNOWN,KEEP,bounded-utility-evidence
Remove Line Breaks,/text/remove-line-breaks,23,UNKNOWN,4,13,9,49,UNKNOWN,UNKNOWN,UNKNOWN,FIX,existing-correctness-or-repair-gate
Text to Slug,/text/text-to-slug,17,UNKNOWN,4,12,9,42,UNKNOWN,UNKNOWN,UNKNOWN,FIX,existing-correctness-or-repair-gate
Character Counter,/text/character-counter,20,UNKNOWN,3,13,9,45,UNKNOWN,UNKNOWN,UNKNOWN,FIX,existing-correctness-or-repair-gate
JSON Formatter,/dev/json-formatter,22,UNKNOWN,5,13,8,48,UNKNOWN,UNKNOWN,UNKNOWN,FIX,existing-correctness-or-repair-gate
Find & Replace,/text/find-and-replace,22,UNKNOWN,5,13,8,48,UNKNOWN,UNKNOWN,UNKNOWN,FIX,existing-correctness-or-repair-gate
Sort Lines,/text/sort-lines,25,UNKNOWN,4,11,9,49,UNKNOWN,UNKNOWN,UNKNOWN,KEEP,bounded-utility-evidence
Base64 Encode / Decode,/dev/base64,29,UNKNOWN,4,13,9,55,UNKNOWN,UNKNOWN,UNKNOWN,KEEP,bounded-utility-evidence
Password Generator,/generate/password,14,UNKNOWN,5,14,7,40,UNKNOWN,UNKNOWN,UNKNOWN,FIX,existing-correctness-or-repair-gate
Random Number Generator,/generate/random-number,10,UNKNOWN,3,12,8,33,UNKNOWN,UNKNOWN,UNKNOWN,FIX,existing-correctness-or-repair-gate
Color Picker,/dev/color-picker,24,UNKNOWN,4,12,9,49,UNKNOWN,UNKNOWN,UNKNOWN,FIX,existing-correctness-or-repair-gate
Percentage Calculator,/calc/percentage,28,UNKNOWN,15,15,9,67,UNKNOWN,UNKNOWN,UNKNOWN,KEEP,bounded-utility-evidence
Odds Calculator,/calc/odds-calculator,30,UNKNOWN,9,5,8,52,UNKNOWN,UNKNOWN,UNKNOWN,HIDE,responsible-gambling-policy-gate
Poker Calculator,/calc/poker,0,UNKNOWN,10,5,3,18,UNKNOWN,UNKNOWN,UNKNOWN,HIDE,contained-gambling-correctness-gate
Unit Converter,/calc/unit-converter,30,UNKNOWN,16,15,9,70,UNKNOWN,UNKNOWN,UNKNOWN,KEEP,bounded-utility-evidence
URL Encoder / Decoder,/dev/url-encoder,29,UNKNOWN,4,13,9,55,UNKNOWN,UNKNOWN,UNKNOWN,KEEP,bounded-utility-evidence
Timer,/time/timer,27,UNKNOWN,4,14,8,53,UNKNOWN,UNKNOWN,UNKNOWN,FIX,existing-correctness-or-repair-gate
Stopwatch,/time/stopwatch,29,UNKNOWN,4,14,9,56,UNKNOWN,UNKNOWN,UNKNOWN,KEEP,bounded-utility-evidence
Pomodoro Timer,/time/pomodoro,23,UNKNOWN,5,14,8,50,UNKNOWN,UNKNOWN,UNKNOWN,FIX,existing-correctness-or-repair-gate
Age Calculator,/calc/age,12,UNKNOWN,16,15,6,49,UNKNOWN,UNKNOWN,UNKNOWN,FIX,existing-correctness-or-repair-gate
Date Difference,/calc/date-difference,13,UNKNOWN,15,15,6,49,UNKNOWN,UNKNOWN,UNKNOWN,FIX,existing-correctness-or-repair-gate
UUID Generator,/dev/uuid,29,UNKNOWN,4,12,9,54,UNKNOWN,UNKNOWN,UNKNOWN,KEEP,bounded-utility-evidence
BMI Calculator,/calc/bmi,26,UNKNOWN,12,10,7,55,UNKNOWN,UNKNOWN,UNKNOWN,FIX,clinical-estimate-boundary
Mortgage Calculator,/calc/mortgage,24,UNKNOWN,15,14,7,60,UNKNOWN,UNKNOWN,UNKNOWN,FIX,existing-correctness-or-repair-gate
Tip Calculator,/calc/tip,29,UNKNOWN,10,14,9,62,UNKNOWN,UNKNOWN,UNKNOWN,KEEP,bounded-utility-evidence
Discount Calculator,/calc/discount,30,UNKNOWN,12,14,9,65,UNKNOWN,UNKNOWN,UNKNOWN,KEEP,bounded-utility-evidence
Compound Interest Calculator,/calc/compound-interest,28,UNKNOWN,12,11,7,58,UNKNOWN,UNKNOWN,UNKNOWN,FIX,financial-estimate-boundary
GPA Calculator,/calc/gpa,28,UNKNOWN,13,13,8,62,UNKNOWN,UNKNOWN,UNKNOWN,KEEP,bounded-utility-evidence
Typing Test,/type/typing-test,12,UNKNOWN,7,14,6,39,UNKNOWN,UNKNOWN,UNKNOWN,FIX,existing-correctness-or-repair-gate
WPM Test,/type/wpm-test,21,UNKNOWN,5,13,7,46,UNKNOWN,UNKNOWN,UNKNOWN,FIX,existing-correctness-or-repair-gate
Keyboard Tester,/type/keyboard-tester,14,UNKNOWN,5,12,8,39,UNKNOWN,UNKNOWN,UNKNOWN,FIX,existing-correctness-or-repair-gate
Typing Practice,/type/typing-practice,18,UNKNOWN,8,13,6,45,UNKNOWN,UNKNOWN,UNKNOWN,FIX,existing-correctness-or-repair-gate
Typing Race,/type/race,10,UNKNOWN,8,11,5,34,UNKNOWN,UNKNOWN,UNKNOWN,FIX,existing-correctness-or-repair-gate
Word Blitz,/type/word-blitz,20,UNKNOWN,8,10,6,44,UNKNOWN,UNKNOWN,UNKNOWN,FIX,existing-correctness-or-repair-gate
Code Typing Challenge,/type/code-challenge,25,UNKNOWN,10,13,7,55,UNKNOWN,UNKNOWN,UNKNOWN,KEEP,bounded-utility-evidence
Image Cropper,/files/image-cropper,12,UNKNOWN,9,13,7,41,UNKNOWN,UNKNOWN,UNKNOWN,FIX,existing-correctness-or-repair-gate
Invoice Generator,/files/invoice-generator,16,UNKNOWN,8,4,4,32,UNKNOWN,UNKNOWN,UNKNOWN,HIDE,invoice-legal-artifact-gate
Salary Calculator,/calc/salary,30,UNKNOWN,12,14,9,65,UNKNOWN,UNKNOWN,UNKNOWN,KEEP,bounded-utility-evidence
Take-Home Pay Calculator,/calc/take-home-pay,0,UNKNOWN,10,5,3,18,UNKNOWN,UNKNOWN,UNKNOWN,HIDE,contained-payroll-safety-gate
