tool_name,route,category,registry_status,indexable,sitemap_included,navigation_discoverable,category_discoverable,search_discoverable,functional_status,verification_status,tested_inputs,expected_output,actual_output,output_verified,desktop_status,mobile_status,accessibility_status,privacy_model,external_dependencies,known_limitations,gsc_impressions,gsc_clicks,gsc_position,demand_status,correctness_score,demand_score,differentiation_score,strategic_fit_score,maintainability_score,total_score,recommendation,highest_defect_severity,defect_summary,evidence,recommended_seo_action,recommended_product_action,original_defect,resolution_status,remediation_files,remediation_tests,remediation_evidence,post_remediation_recommendation,remaining_risks
Image Compressor,/compress/image,compress,live,YES,YES,YES,YES,YES,WORKING_WITH_UNVERIFIED_OR_DEFECTIVE_EDGES,PARTIAL,"PARTIAL; 800×600 high-quality JPG → valid 800×600 JPEG, correct name, smaller than source; output opened with Sharp. PNG alpha, WebP, batch ZIP, 50 MB, and memory pressure unverified. output_verified=true","A readable artifact satisfying the route's stated format, dimensions, page, transparency, animation, and naming contract for the tested input","Observed and independently parsed: PARTIAL; 800×600 high-quality JPG → valid 800×600 JPEG, correct name, smaller than source; output opened with Sharp. PNG alpha, WebP, batch ZIP, 50 MB, and memory pressure unverified. output_verified=true",TRUE,PASS,UNVERIFIED,PARTIAL,"browser-local; browser-image-compression, Worker/Canvas; already-optimized inputs may grow or show no reduction","browser-local; browser-image-compression, Worker/Canvas; already-optimized inputs may grow or show no reduction","browser-local; browser-image-compression, Worker/Canvas; already-optimized inputs may grow or show no reduction",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,25,UNKNOWN,12,15,7,UNKNOWN,FLAGSHIP,,No confirmed defect in the tested scope; see known limitations and unverified gaps,"reports/audits/tool-integrity/files-images-pdf.md; tests/e2e/tool-audit/file-artifact-audit.spec.ts; PARTIAL; 800×600 high-quality JPG → valid 800×600 JPEG, correct name, smaller than source; output opened with Sharp. PNG alpha, WebP, batch ZIP, 50 MB, and memory pressure unverified. output_verified=true",Retain current URL/indexation; validate demand with GSC before promotion or content expansion,"Retain as an initial flagship candidate and close the remaining evidence gaps before broad promotion: browser-local; browser-image-compression, Worker/Canvas; already-optimized inputs may grow or show no reduction",No confirmed defect in the tested scope; see known limitations and unverified gaps,NOT_IN_P0_P1_SCOPE,—,—,Historical audit evidence retained; this row was not reclassified in the P0/P1 remediation wave.,FLAGSHIP,"browser-local; browser-image-compression, Worker/Canvas; already-optimized inputs may grow or show no reduction"
GIF Compressor,/tools/gif-compressor,compress,live,YES,YES,YES,YES,YES,WORKING_WITH_UNVERIFIED_OR_DEFECTIVE_EDGES,PARTIAL,"PARTIAL; 40×40 two-frame GIF → decodable animated GIF with >1 frame and 40×40 frame geometry. Exact duration, transparency, disposal modes, large GIFs, and actual reduction on a representative corpus unverified. output_verified=true","A readable artifact satisfying the route's stated format, dimensions, page, transparency, animation, and naming contract for the tested input","Observed and independently parsed: PARTIAL; 40×40 two-frame GIF → decodable animated GIF with >1 frame and 40×40 frame geometry. Exact duration, transparency, disposal modes, large GIFs, and actual reduction on a representative corpus unverified. output_verified=true",TRUE,PASS,UNVERIFIED,PARTIAL,browser-local; gifuct-js + gifenc; custom palette/re-encode path is maintenance-heavy,browser-local; gifuct-js + gifenc; custom palette/re-encode path is maintenance-heavy,browser-local; gifuct-js + gifenc; custom palette/re-encode path is maintenance-heavy,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,23,UNKNOWN,13,10,6,UNKNOWN,KEEP,,No confirmed defect in the tested scope; see known limitations and unverified gaps,"reports/audits/tool-integrity/files-images-pdf.md; tests/e2e/tool-audit/file-artifact-audit.spec.ts; PARTIAL; 40×40 two-frame GIF → decodable animated GIF with >1 frame and 40×40 frame geometry. Exact duration, transparency, disposal modes, large GIFs, and actual reduction on a representative corpus unverified. output_verified=true",Retain current URL/indexation; validate demand with GSC before promotion or content expansion,"Retain the tool, address the documented limitations, and add missing mobile/accessibility/output evidence before promotion: browser-local; gifuct-js + gifenc; custom palette/re-encode path is maintenance-heavy",No confirmed defect in the tested scope; see known limitations and unverified gaps,NOT_IN_P0_P1_SCOPE,—,—,Historical audit evidence retained; this row was not reclassified in the P0/P1 remediation wave.,KEEP,browser-local; gifuct-js + gifenc; custom palette/re-encode path is maintenance-heavy
PNG to JPG Converter,/convert/png-to-jpg,convert,live,YES,YES,NO,YES,YES,WORKING_IN_TESTED_SCOPE,PASS,PASS; 160×120 transparent PNG → real 160×120 JPEG; transparent corner independently decoded as white; sensible .jpg name. output_verified=true,"A readable artifact satisfying the route's stated format, dimensions, page, transparency, animation, and naming contract for the tested input",Observed and independently parsed: PASS; 160×120 transparent PNG → real 160×120 JPEG; transparent corner independently decoded as white; sensible .jpg name. output_verified=true,TRUE,PASS,UNVERIFIED,PARTIAL,browser-local Canvas; alpha intentionally flattened; EXIF not preserved,browser-local Canvas; alpha intentionally flattened; EXIF not preserved,browser-local Canvas; alpha intentionally flattened; EXIF not preserved; Smart Converter can hand off a source format that the destination route does not declare or accept after reset,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,28,UNKNOWN,5,11,8,UNKNOWN,KEEP,,No confirmed defect in the tested scope; see known limitations and unverified gaps,reports/audits/tool-integrity/files-images-pdf.md; tests/e2e/tool-audit/file-artifact-audit.spec.ts; PASS; 160×120 transparent PNG → real 160×120 JPEG; transparent corner independently decoded as white; sensible .jpg name. output_verified=true; reports/audits/tool-integrity/routes-and-discovery.md,Retain current URL/indexation; validate demand with GSC before promotion or content expansion,"Retain the tool, address the documented limitations, and add missing mobile/accessibility/output evidence before promotion: browser-local Canvas; alpha intentionally flattened; EXIF not preserved; Smart Converter can hand off a source format that the destination route does not declare or accept after reset",No confirmed defect in the tested scope; see known limitations and unverified gaps,NOT_IN_P0_P1_SCOPE,—,—,Historical audit evidence retained; this row was not reclassified in the P0/P1 remediation wave.,KEEP,browser-local Canvas; alpha intentionally flattened; EXIF not preserved; Smart Converter can hand off a source format that the destination route does not declare or accept after reset
QR Code Generator,/generate/qr-code,generate,live,YES,YES,YES,YES,YES,WORKING_WITH_UNVERIFIED_OR_DEFECTIVE_EDGES,PARTIAL,"PARTIAL; source establishes PNG data URL and SVG generation through qrcode, with size/color/error-level options and long-input error. No independent scanner decoded the browser output. output_verified=false","A readable artifact satisfying the route's stated format, dimensions, page, transparency, animation, and naming contract for the tested input","UNVERIFIED end to end: PARTIAL; source establishes PNG data URL and SVG generation through qrcode, with size/color/error-level options and long-input error. No independent scanner decoded the browser output. output_verified=false",FALSE,PARTIAL,UNVERIFIED,PARTIAL,"browser-local; qrcode; scan success depends on payload length, contrast, print size, and error correction","browser-local; qrcode; scan success depends on payload length, contrast, print size, and error correction","browser-local; qrcode; scan success depends on payload length, contrast, print size, and error correction",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,22,UNKNOWN,4,8,8,UNKNOWN,KEEP,,No confirmed defect in the tested scope; see known limitations and unverified gaps,"reports/audits/tool-integrity/files-images-pdf.md; tests/e2e/tool-audit/file-artifact-audit.spec.ts; PARTIAL; source establishes PNG data URL and SVG generation through qrcode, with size/color/error-level options and long-input error. No independent scanner decoded the browser output. output_verified=false",Retain current URL/indexation; validate demand with GSC before promotion or content expansion,"Retain the tool, address the documented limitations, and add missing mobile/accessibility/output evidence before promotion: browser-local; qrcode; scan success depends on payload length, contrast, print size, and error correction",No confirmed defect in the tested scope; see known limitations and unverified gaps,NOT_IN_P0_P1_SCOPE,—,—,Historical audit evidence retained; this row was not reclassified in the P0/P1 remediation wave.,KEEP,"browser-local; qrcode; scan success depends on payload length, contrast, print size, and error correction"
HEIC to JPG Converter,/convert/heic-to-jpg,convert,live,YES,YES,NO,YES,YES,CORE_DEFECT_OR_HARD_GATE,FAIL,FAIL; valid 40×40 HEIC hung >90s with no output/error. Node fixture tests separately fail from missing HEVC plugin. output_verified=false,The valid 40×40 HEIC completes within a bounded time and downloads a readable 40×40 JPEG or a clear supported-format error,The browser remained on ‘Converting HEIC to JPG…’ for more than 90 seconds with no output or error,FALSE,FAIL,UNVERIFIED,PARTIAL,"browser-local heic2any; codec/browser/worker sensitive; orientation, wide gamut, alpha, Live Photo, EXIF unverified","browser-local heic2any; codec/browser/worker sensitive; orientation, wide gamut, alpha, Live Photo, EXIF unverified","browser-local heic2any; codec/browser/worker sensitive; orientation, wide gamut, alpha, Live Photo, EXIF unverified",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,UNKNOWN,8,5,3,UNKNOWN,HIDE,P1,"FIX; P1; temporarily remove from normal discovery after traffic/backlink check, repair timeout/error/codec path, correct fixture corpus; homepage Smart Converter also offers a HEIC-to-PNG action but routes it to the JPG-to-PNG implementation (P1)",reports/audits/tool-integrity/files-images-pdf.md; tests/e2e/tool-audit/file-artifact-audit.spec.ts; FAIL; valid 40×40 HEIC hung >90s with no output/error. Node fixture tests separately fail from missing HEVC plugin. output_verified=false; reports/audits/tool-integrity/routes-and-discovery.md,"Keep the route out of promotion; any noindex, sitemap, navigation, or redirect change requires a separately approved SEO release after a representative multi-browser HEIC corpus proves bounded output and failure behavior is verified.",Hide from public discovery and promotion pending a representative multi-browser HEIC corpus proves bounded output and failure behavior; retain only a bounded review/status path and do not present the current behavior as a user-safe result.,"FIX; P1; temporarily remove from normal discovery after traffic/backlink check, repair timeout/error/codec path, correct fixture corpus; homepage Smart Converter also offers a HEIC-to-PNG action but routes it to the JPG-to-PNG implementation (P1)",CONTAINED,app/convert/heic-to-jpg/page.tsx; components/tools/HeicToJpg.tsx; lib/processors.ts; lib/image-remediation/heic-validation.ts; components/home/SmartConverter.tsx; components/home/SmartConverterDeferred.tsx; lib/image-remediation/smart-converter-contracts.ts,tests/p1-files-images.test.mjs; tests/e2e/p1-files-images.spec.ts; tests/e2e/p1-containment.spec.ts; tests/tool-integrity-discovery.test.mjs,Direct route has no uploader and is noindexed; valid and invalid signatures plus a bounded decoder timeout are covered; Smart Converter has no HEIC action; focused Node 6/6 and focused file/image browser 10/10 passed.,"HIDE until representative iPhone HEIC files pass bounded multi-browser output, orientation, color, metadata, and Live Photo checks.",heic2any work is not cancellable after timeout; Node Sharp/libvips lacks an HEVC decoder; the dormant implementation is not release evidence.
WebP to PNG Converter,/convert/webp-to-png,convert,live,YES,YES,NO,YES,YES,WORKING_IN_TESTED_SCOPE,PASS,PASS; transparent 160×120 WebP → real 160×120 PNG with alpha. output_verified=true,"A readable artifact satisfying the route's stated format, dimensions, page, transparency, animation, and naming contract for the tested input",Observed and independently parsed: PASS; transparent 160×120 WebP → real 160×120 PNG with alpha. output_verified=true,TRUE,PASS,UNVERIFIED,PARTIAL,browser-local Canvas; animation and decoded-pixel equality not tested; output often larger,browser-local Canvas; animation and decoded-pixel equality not tested; output often larger,browser-local Canvas; animation and decoded-pixel equality not tested; output often larger,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,28,UNKNOWN,5,10,8,UNKNOWN,KEEP,,No confirmed defect in the tested scope; see known limitations and unverified gaps,reports/audits/tool-integrity/files-images-pdf.md; tests/e2e/tool-audit/file-artifact-audit.spec.ts; PASS; transparent 160×120 WebP → real 160×120 PNG with alpha. output_verified=true,Retain current URL/indexation; validate demand with GSC before promotion or content expansion,"Retain the tool, address the documented limitations, and add missing mobile/accessibility/output evidence before promotion: browser-local Canvas; animation and decoded-pixel equality not tested; output often larger",No confirmed defect in the tested scope; see known limitations and unverified gaps,NOT_IN_P0_P1_SCOPE,—,—,Historical audit evidence retained; this row was not reclassified in the P0/P1 remediation wave.,KEEP,browser-local Canvas; animation and decoded-pixel equality not tested; output often larger
PNG to WebP Converter,/convert/png-to-webp,convert,live,YES,YES,NO,YES,YES,WORKING_IN_TESTED_SCOPE,PASS,PASS; transparent 160×120 PNG → real 160×120 WebP with alpha. output_verified=true,"A readable artifact satisfying the route's stated format, dimensions, page, transparency, animation, and naming contract for the tested input",Observed and independently parsed: PASS; transparent 160×120 PNG → real 160×120 WebP with alpha. output_verified=true,TRUE,PASS,UNVERIFIED,PARTIAL,browser-local Canvas; lossy quality; may re-encode at lower quality to avoid growth; exact visual quality unverified,browser-local Canvas; lossy quality; may re-encode at lower quality to avoid growth; exact visual quality unverified,browser-local Canvas; lossy quality; may re-encode at lower quality to avoid growth; exact visual quality unverified; Smart Converter can hand off a source format that the destination route does not declare or accept after reset,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,27,UNKNOWN,5,11,8,UNKNOWN,KEEP,,No confirmed defect in the tested scope; see known limitations and unverified gaps,reports/audits/tool-integrity/files-images-pdf.md; tests/e2e/tool-audit/file-artifact-audit.spec.ts; PASS; transparent 160×120 PNG → real 160×120 WebP with alpha. output_verified=true; reports/audits/tool-integrity/routes-and-discovery.md,Retain current URL/indexation; validate demand with GSC before promotion or content expansion,"Retain the tool, address the documented limitations, and add missing mobile/accessibility/output evidence before promotion: browser-local Canvas; lossy quality; may re-encode at lower quality to avoid growth; exact visual quality unverified; Smart Converter can hand off a source format that the destination route does not declare or accept after reset",No confirmed defect in the tested scope; see known limitations and unverified gaps,NOT_IN_P0_P1_SCOPE,—,—,Historical audit evidence retained; this row was not reclassified in the P0/P1 remediation wave.,KEEP,browser-local Canvas; lossy quality; may re-encode at lower quality to avoid growth; exact visual quality unverified; Smart Converter can hand off a source format that the destination route does not declare or accept after reset
JPG to PNG Converter,/convert/jpg-to-png,convert,live,YES,YES,NO,YES,YES,WORKING_IN_TESTED_SCOPE,PASS,PASS; 800×600 JPEG → real 800×600 PNG with correct extension. output_verified=true,"A readable artifact satisfying the route's stated format, dimensions, page, transparency, animation, and naming contract for the tested input",Observed and independently parsed: PASS; 800×600 JPEG → real 800×600 PNG with correct extension. output_verified=true,TRUE,PASS,UNVERIFIED,PARTIAL,browser-local Canvas; output grows; JPEG artifacts persist; metadata not preserved,browser-local Canvas; output grows; JPEG artifacts persist; metadata not preserved,browser-local Canvas; output grows; JPEG artifacts persist; metadata not preserved,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,28,UNKNOWN,4,9,8,UNKNOWN,KEEP,,No confirmed defect in the tested scope; see known limitations and unverified gaps,reports/audits/tool-integrity/files-images-pdf.md; tests/e2e/tool-audit/file-artifact-audit.spec.ts; PASS; 800×600 JPEG → real 800×600 PNG with correct extension. output_verified=true,Retain current URL/indexation; validate demand with GSC before promotion or content expansion,"Retain the tool, address the documented limitations, and add missing mobile/accessibility/output evidence before promotion: browser-local Canvas; output grows; JPEG artifacts persist; metadata not preserved",No confirmed defect in the tested scope; see known limitations and unverified gaps,NOT_IN_P0_P1_SCOPE,—,—,Historical audit evidence retained; this row was not reclassified in the P0/P1 remediation wave.,KEEP,browser-local Canvas; output grows; JPEG artifacts persist; metadata not preserved
AI Background Remover,/tools/background-remover,tools,hidden,NO,NO,NO,NO,NO,CORE_DEFECT_OR_HARD_GATE,FAIL,FAIL; API returned 503 because unconfigured; no output. Privacy/deletion claims cannot be verified against configured external backend. output_verified=false,A nonempty transparent PNG with documented server handling and deletion behavior,POST /api/remove-bg returned 503 because the service is unconfigured; no output artifact or backend privacy contract was available,FALSE,PARTIAL,UNVERIFIED,PARTIAL,server proxy to BG_API_URL; BG_API_KEY; full image leaves device; unknown backend retention/subprocessors; weak in-memory rate limit,server proxy to BG_API_URL; BG_API_KEY; full image leaves device; unknown backend retention/subprocessors; weak in-memory rate limit,server proxy to BG_API_URL; BG_API_KEY; full image leaves device; unknown backend retention/subprocessors; weak in-memory rate limit,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,UNKNOWN,10,10,2,UNKNOWN,HIDE,P0,HIDE; P0; remain noindex/excluded; document and operate backend before any relaunch,reports/audits/tool-integrity/files-images-pdf.md; tests/e2e/tool-audit/file-artifact-audit.spec.ts; FAIL; API returned 503 because unconfigured; no output. Privacy/deletion claims cannot be verified against configured external backend. output_verified=false,"Keep the route out of promotion; any noindex, sitemap, navigation, or redirect change requires a separately approved SEO release after a verified processor, retention/deletion, abuse-control, economics, and parsed output-quality contract is verified.","Hide from public discovery and promotion pending a verified processor, retention/deletion, abuse-control, economics, and parsed output-quality contract; retain only a bounded review/status path and do not present the current behavior as a user-safe result.",HIDE; P0; remain noindex/excluded; document and operate backend before any relaunch,CONTAINED,app/tools/background-remover/page.tsx; app/api/remove-bg/route.ts; app/privacy/page.tsx; components/tools/BackgroundRemover.tsx; components/tool/ContainedToolNotice.tsx; components/tool/ToolLayout.tsx; lib/tools.ts; lib/seo/tool-faqs.ts,tests/e2e/p1-containment.spec.ts; tests/tool-integrity-discovery.test.mjs; tests/e2e/tool-audit/file-artifact-audit.spec.ts,"Route submission is disabled, robots are noindex, registry is non-live, every discovery projection excludes it, privacy copy makes no retention/deletion guarantee, and the unconfigured API returns 503.","HIDE; repair or replace only after processor ownership, retention/deletion terms, abuse control, monitoring, economics, and real artifact quality are verified; otherwise remove in a later approved portfolio decision.",BG_API_URL and BG_API_KEY are unset; the separate FastAPI/rembg BiRefNet service is unverified; both proxy and backend rate limits are in-memory and non-durable.
PDF Compressor,/compress/pdf,compress,live,YES,YES,YES,YES,YES,WORKING_WITH_UNVERIFIED_OR_DEFECTIVE_EDGES,PARTIAL,"PARTIAL; structural one-page fixture → smaller valid one-page PDF. Empty/corrupt inputs produced no download. Image-heavy, forms, annotations, bookmarks, encrypted/signed PDFs and cases that grow are unverified. output_verified=true","A readable artifact satisfying the route's stated format, dimensions, page, transparency, animation, and naming contract for the tested input","Observed and independently parsed: PARTIAL; structural one-page fixture → smaller valid one-page PDF. Empty/corrupt inputs produced no download. Image-heavy, forms, annotations, bookmarks, encrypted/signed PDFs and cases that grow are unverified. output_verified=true",TRUE,PASS,UNVERIFIED,PARTIAL,browser-local pdf-lib; strips metadata and rewrites object graph; does not resample images; rewriting invalidates digital signatures,browser-local pdf-lib; strips metadata and rewrites object graph; does not resample images; rewriting invalidates digital signatures,browser-local pdf-lib; strips metadata and rewrites object graph; does not resample images; rewriting invalidates digital signatures,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,18,UNKNOWN,4,13,8,UNKNOWN,FIX,P2,FIX; P2; keep route for now but narrow promise or add real image resampling/size targeting and never offer a larger “compressed” file,"reports/audits/tool-integrity/files-images-pdf.md; tests/e2e/tool-audit/file-artifact-audit.spec.ts; PARTIAL; structural one-page fixture → smaller valid one-page PDF. Empty/corrupt inputs produced no download. Image-heavy, forms, annotations, bookmarks, encrypted/signed PDFs and cases that grow are unverified. output_verified=true",Do not promote; retain current URL pending repair and demand/backlink evidence; reassess indexation only through a separate approved SEO change,"Repair or narrow the user-visible promise before promotion, then add an independent regression for this documented limitation: FIX; P2; keep route for now but narrow promise or add real image resampling/size targeting and never offer a larger “compressed” file",FIX; P2; keep route for now but narrow promise or add real image resampling/size targeting and never offer a larger “compressed” file,NOT_IN_P0_P1_SCOPE,—,—,Historical audit evidence retained; this row was not reclassified in the P0/P1 remediation wave.,FIX,browser-local pdf-lib; strips metadata and rewrites object graph; does not resample images; rewriting invalidates digital signatures
